Title;Location;Start;End;Description
DCT (1050);B 4.1.01 TI 1;2023-10-09 08:00:00;2023-10-09 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-10-16 08:00:00;2023-10-16 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-10-23 08:00:00;2023-10-23 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-10-30 08:00:00;2023-10-30 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-06 08:00:00;2023-11-06 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-13 08:00:00;2023-11-13 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-20 08:00:00;2023-11-20 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-27 08:00:00;2023-11-27 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-12-04 08:00:00;2023-12-04 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-12-11 08:00:00;2023-12-11 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-12-18 08:00:00;2023-12-18 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
